Ahvenamaa	(Estonian)
Ahvenanmaa	(Finnish)
Áland	(Faroese)
Åland	(Swedish Turkish)
Alanda	(Portuguese)
Aland adaları	(Azeri)
Åland-eilande	(Afrikaans)
Åland-eilanden	(Dutch)
Åland-Inseln	(German)
Åland Kûn-tó	(Min Nan)
ალანდის კუნძულები	(Georgian)
ალანდიშ კოკეფი	(Mengrelian)
Álandseyjar	(Icelandic)
Ålandska ostrva	(Bosnian)
Аландські острови	(Ukrainian)
Ålandsko otočje	(Slovene Croatian)
Ālandu salas	(Latvian)
Alandų salos	(Lithuanian)
Ålandy	(Czech)
Alandy	(Slovak)
Аляндзкія выспы	(Belarusian)
奥兰	(Mandarin Chinese)
ᐊᐅᓚᓐᑎ ᕿᑭᖅᑕᑦ	(Inuktitut)
Eileanan Àland	(Scots Gaelic)
il-Gżejjer Aland	(Maltese)
Iles d’Åland	(Franco-Provençal)
Illes Åland	(Catalan)
Inizi Åland	(Breton)
Islas Åland	(Aragonese Spanish)
Isllas d'Åland	(Asturian)
Isole Åland	(Italian)
איי אולנד	(Hebrew)
Kepulauan Aland	(Indonesian Malay)
หมู่เกาะโอลันด์	(Thai)
Оланд	(Macedonian)
Ώλαντ	(Greek)
ඕලන්ඩ් දිවයින්	(Sinhala)
Оландска острва	(Serbian)
Оландски острови	(Bulgarian Macedonian alternate)
올란드 제도	(Korean)
オーランド諸島	(Japanese)
Pulo-pulo Aland	(Acehnese)
Wyspy Alandzkie	(Polish)
ஆலந்து தீவுகள்	(Tamil)
جزائر ایلانڈ	(Urdu)
অলান্দ দ্বীপপুঞ্জ	(Bengali)
جزر أولاند	(Arabic)
