Danemarc	(Romansh)
Danemarca	(Romanian)
Dänemark	(Alemannic German Low Saxon)
Danemark	(French)
Դանիա	(Armenian)
დანია	(Georgian)
Δανία	(Greek)
Dánia	(Hungarian)
Dania	(Latin Polish)
Данія	(Belarusian Ukrainian)
Dānija	(Latvian)
Danija	(Lithuanian)
Danimarca	(Italian)
Danimarka	(Azeri Basque Turkish)
Danimarkë	(Albanian)
Danio	(Esperanto)
Дания	(Bulgarian Russian)
Đan Mạch	(Vietnamese)
丹麥	(Mandarin Chinese)
丹麦	(Mandarin Chinese)
الدنمارك	(Arabic)
Danmark	(Breton Danish Faroese Interlingua Norwegian Swedish)
an Danmhairg	(Irish Scots Gaelic)
Danmörk	(Icelandic)
Danska	(Croatian Slovene)
Dańska	(Lower Sorbian)
Данска	(Macedonian Serbian)
Dánsko	(Czech Slovak)
Dansuyu	(Quechua)
デンマーク	(Japanese)
Denemark	(Frisian)
דנמרק	(Hebrew)
Denemarke	(Afrikaans)
Denemarken	(Dutch)
דניה	(Hebrew obsolete)
덴마크	(Korean)
Denmarc	(Welsh)
Denmark	(Acehnese Indonesian)
ዴንማርክ	(Amharic)
เดนมาร์ก	(Thai)
דענמאַרק	(Yiddish)
ඩෙන්මාර්කය	(Sinhala)
Dinamarca	(Aragonese Catalan Portuguese Spanish)
Dinamarka	(Filipino/Tagalog)
id-Danimarka	(Maltese)
Juutinmaa	(old Finnish alternative)
Qallunaat Nunaat	(Kalaallisut)
Taani	(Estonian Võro)
Tanska	(Finnish)
Tingmaak	(Inuktitut)
டென்மார்க்	(Tamil)
ڈنمارک	(Urdu)
دانمارک	(Persian)
