아이슬란드	(Korean)
Aisilantu	(Inuktitut)
Aisland	(Bambara)
ไอซ์แลนด์	(Thai)
アイスランド	(Japanese)
අයිස්ලන්තය	(Sinhala)
አይስላንድ	(Amharic)
איסלנד	(Hebrew)
冰島	(Mandarin Chinese)
冰岛	(Mandarin Chinese)
Gwlad yr Iâ	(Welsh)
IJsland	(Dutch)
Innis Tìle	(Scots Gaelic)
an Íoslainn	(Irish)
Island	(Alemannic Croatian Czech Danish Estonian German Low Saxon Norwegian Slovak Swedish Võro)
Ísland	(Faroese Icelandic)
Исланд	(Macedonian Serbian)
איסלאַנד	(Yiddish)
Islanda	(Aromanian Italian Romansh)
Islandë	(Albanian)
Islande	(Franco-Provençal French)
Īslande	(Latvian)
Islandia	(Acehnese Aragonese Asturian Basque Indonesian Latin Polish Spanish)
Islandia	(Filipino/Tagalog)
Lupangyelo	(Filipino/Tagalog)
Իսլանդիա	(Armenian)
Islàndia	(Catalan)
Ισλανδία	(Greek)
Islândia	(Portuguese)
Islandija	(Lithuanian Slovene)
İslandiya	(Azeri)
Иcлaндия	(Bulgarian Russian)
Іcлaндія	(Ukrainian)
Islando	(Esperanto)
Islandska	(Lower Sorbian)
Islandya	(Quechua)
Islanti	(Finnish)
Iylanda	(Guaraní)
Izland	(Hungarian)
İzlanda	(Turkish)
l-Iżlanda	(Maltese)
Ysland	(Afrikaans)
ஐஸ்லாந்து	(Tamil)
ایسلند	(Persian)
آيسلندا	(Arabic)
