an Iorua	(Irish)
নরওয়ে	(Bengali)
Na Uy	(Vietnamese)
Nirribhidh	(Scots Gaelic)
Noorweë	(Afrikaans)
Noorwegen	(Dutch)
Norge	(Norwegian-Bokmål)
Noreg	(Faroese Norwegian-Nynorsk)
Noregur	(Icelandic)
노르웨이	(Korean)
Norga	(Sami)
Norge	(Danish Min Nan Norwegian-Bokmål Swedish)
Norja	(Finnish)
Norra	(Estonian Võro)
Norsko	(Czech)
Nórsko	(Slovak)
Noruega	(Aragonese Asturian Catalan Guaraní Portuguese Spanish)
Noruwega	(Filipino/Tagalog)
ノルウェー	(Japanese)
Norveç	(Azeri Turkish)
Norvèg·e	(Franco-Provençal)
Norvège	(French)
Norvegia	(Armenian Basque Italian Latin Romanian Romansh)
Norvégia	(Hungarian)
Норвегія	(Ukrainian)
Norvēģija	(Latvian)
Norvegija	(Lithuanian)
Norvegio	(Esperanto)
Норвегия	(Bulgarian Russian)
נורבגיה	(Hebrew)
in-Norveġja	(Maltese)
Norvegjia	(Albanian)
נאָרװעגיע	(Yiddish)
Норвешка	(Macedonian Serbian)
Norveška	(Slovene)
Νορβηγία	(Greek)
Norway	(Malay English)
නෝර්වේ	(Sinhala)
Norweege	(Alemannic)
Norwegen	(German Low Saxon)
Norwègia	(Acehnese)
Norwegia	(Indonesian Polish)
Norwegska	(Lower Sorbian)
ኖርዌይ	(Amharic)
Norwij	(Bambara)
นอร์เวย์	(Thai)
Norwy	(Welsh)
挪威	(Mandarin Chinese)
Nuruwai	(Inuktitut)
நோர்வே	(Tamil)
النرويج	(Arabic)
