Huitene	(Maori)
İsveç	(Azeri Turkish)
l-Iżvezja'	(Maltese)
Żvezja	(Maltese)
Roodsi	(Võro)
Rootsi	(Estonian)
瑞典	(Chinese)
Ruotsi	(Finnish)
Ruoŧŧa	(Sami)
Schweden	(German)
스웨덴	(Korean)
שבדיה	(Hebrew)
שװעדן	(Yiddish)
Швeция	(Bulgarian Russian)
Швeція	(Ukrainian)
Σουηδία	(Greek)
an t-Suain	(Scots Gaelic)
an tSualainn	(Irish)
Suecia	(Latin Spanish)
Suécia	(Portuguese)
Suècia	(Catalan)
Suède	(French)
Suedia	(Basque Romanian)
Suetia	(Latin variant)
Suviitin	(Inuktitut)
スウェーデン	(Japanese)
سويد	(Arabic)
Švedija	(Lithuanian)
Svedio	(Esperanto)
Svédország	(Hungarian)
Švedska	(Croatian Slovene)
Шведска	(Macedonian Serbian)
Švédsko	(Czech Slovak)
Sverige	(Danish Swedish Norwegian Bokmål Norwegian Nynorsk)
Svezia	(Italian Romansh)
Svíþjóð	(Icelandic)
Svøríki	(Faroese)
Swede	(Afrikaans)
Swedia	(Indonesian)
Sweden	(Frisian Low Saxon Malay Welsh)
Šwedska	(Lower Sorbian)
ස්වීඩනය	(Sinhala)
สวีเดน	(Thai)
Szwecja	(Polish)
Thụy Điển	(Vietnamese)
Zviedrija	(Latvian)
Zweden	(Dutch)
ுவீடன்	(Tamil)
سویڈن	(Urdu)
السويد	(Arabic)
